Route number,Origin,Destination
151,Hougang Central Bus Interchange,Kent Ridge Bus Terminal
153,Hougang Central Bus Interchange,Bukit Merah Bus Interchange
154,Boon Lay Bus Interchange,Eunos Bus Interchange
154A,Yung Ho Road,Boon Lay Way (Lakeside MRT station)
154B,Boon Lay Bus Interchange,Clementi Road
155,Toa Payoh Bus Interchange,Bedok Bus Interchange
156,Buangkok Bus Interchange,Clementi Bus Interchange
157,Toa Payoh Bus Interchange,Boon Lay Bus Interchange
158,Serangoon Bus Interchange,Rhu Cross
158A,Aljunied Stn,Opp Aljiuned Stn
159,Sengkang Bus Interchange,Toa Payoh Bus Interchange
159A,Sengkang Bus Interchange,Ang Mo Kio Avenue 8
159B,Ang Mo Kio Avenue 8,Ang Mo Kio Avenue 5
160,Jurong Town Hall Bus Interchange,JB Sentral Bus Terminal
160A,Jurong Town Hall Bus Interchange,Bukit Batok Road
161,Hougang Central Bus Interchange,Woodlands Bus Interchange
162,Yio Chu Kang Bus Interchange,Sin Ming Drive (loop)
163,Sengkang Bus Interchange,Toa Payoh Bus Interchange
163A,Fernvale Drive (Bef Sengkang West Rd),Sengkang Bus Interchange
163B,Yio Chu Kang Road (NCS Hub),Sengkang Bus Interchange
165,Hougang Central Bus Interchange,Clementi Bus Interchange
166,Ang Mo Kio Bus Interchange,Clementi Bus Interchange
167,Bukit Merah Bus Interchange,Sembawang Bus Interchange
168,Bedok Bus Interchange,Woodlands Bus Interchange
168A,Woodlands Bus Interchange,Tampines Avenue 4
169,Woodlands Bus Interchange,Ang Mo Kio Bus Interchange
169A,Woodlands Bus Interchange,Yishun MRT station
169B,Woodlands Bus Interchange,Woodlands Avenue 8
170,Queen Street Bus Terminal,Larkin Sentral (Malaysia)
170X,Kranji MRT station,JB Sentral Bus Terminal
171,Yishun Bus Interchange,Upper Bukit Timah Road (Bukit Panjang MRT/LRT station)
172,Choa Chu Kang Bus Interchange,Boon Lay Bus Interchange
173,Bukit Batok Bus Interchange,Clementi Bus Interchange (loop)
173A,Bukit Batok Bus Interchange,Bukit Batok East Avenue 4
174,Boon Lay Bus Interchange,Kampong Bahru Bus Terminal
174E,Boon Lay Bus Interchange,Kampong Bahru Bus Terminal
175,Clementi Bus Interchange,Lorong 1 Geylang Bus Terminal
176,Bukit Panjang Bus Interchange,Bukit Merah Bus Interchange
177,Bukit Batok Bus Interchange,Jelebu Road (Bukit Panjang MRT/LRT station)
178,Woodlands Bus Interchange,Boon Lay Bus Interchange
178A,Woodlands Bus Interchange,Kranji MRT station
179,Boon Lay Bus Interchange,Nanyang Technological University
179A,Boon Lay Bus Interchange,Nanyang Drive
179A,Lien Ying Chow Drive,Boon Lay Bus Interchange
180,Boon Lay Bus Interchange,Bukit Panjang Bus Interchange
180A,Boon Lay Bus Interchange,Bukit Panjang Road
181,Boon Lay Bus Interchange,Jurong West Avenue 3
181M,Boon Lay Bus Interchange,Jurong West Street 23 (Corporation Primary School)
182,Joo Koon Bus Interchange,Tuas South Avenue 9
182M,Joo Koon Bus Interchange,Tuas South Avenue 10
183,Jurong East Bus Interchange,Science Park Rd (loop)
183B,Jurong East Bus Interchange,Toh Tuck Avenue
184,Gali Batu Bus Terminal,Clementi MRT station
185,Soon Lee Bus Park,Buona Vista Bus Terminal
186,Shenton Way Bus Terminal,Saint Michael's Bus Terminal
187,Woodlands Bus Interchange,Boon Lay Bus Interchange
188,Choa Chu Kang Bus Interchange,HarbourFront Bus Interchange
188E,Choa Chu Kang Bus Interchange,HarbourFront Bus Interchange
189,Bukit Batok Bus Interchange,Clementi Avenue 1
189A,Bukit Batok Bus Interchange,Bukit Batok Street 23
190,Choa Chu Kang Bus Interchange,Kampong Bahru Bus Terminal
190A,Choa Chu Kang Bus Interchange,Dhoby Ghaut MRT station
191,Buona Vista Bus Terminal,Media Circle
192,Boon Lay Bus Interchange,Tuas Bus Terminal
193,Boon Lay Bus Interchange,Tuas Bus Terminal
194,Boon Lay Bus Interchange,Jalan Ahmad Ibrahim
195,Marina Centre Bus Terminal,Commonwealth MRT station
195A,Marina Centre Bus Terminal,Tiong Bahru MRT station
196,Bedok Bus Interchange,Clementi Bus Interchange
196A,Bedok Bus Interchange,Shenton Way
196E,Marine Parade Road,Shenton Way
197,Bedok Bus Interchange,Jurong East Bus Interchange
198,Boon Lay Bus Interchange,Bukit Merah Bus Interchange
198A,Boon Lay Bus Interchange,Jurong East Avenue 1
199,Boon Lay Bus Interchange,Nanyang Crescent
200,Buona Vista Bus Terminal,Kent Ridge Bus Terminal
200A,Buona Vista Bus Terminal,Kent Ridge Bus Terminal
201,Kent Ridge Bus Terminal,Pandan Gardens
222,Bedok Bus Interchange,Chai Chee Street
222A,Bedok Bus Interchange,Bedok MRT station
222B,New Upper Changi Road,Chai Chee Drive
225G,Bedok Bus Interchange,Bedok North Street 3
225W,Bedok Bus Interchange,Bedok North Street 3
228,Bedok Bus Interchange,Bedok Reservoir Road
229,Bedok Bus Interchange,Bedok South Road
230,Toa Payoh Link (Caldecott MRT station),Lorong 8 Toa Payoh (loop)
230M,Toa Payoh Bus Interchange,Kim Keat Avenue (loop)
231,Toa Payoh Bus Interchange,Lorong 5 Toa Payoh
232,Toa Payoh Bus Interchange,Toa Payoh East
235,Toa Payoh Bus Interchange,Toa Payoh Link (Caldecott MRT station) (loop)
238,Toa Payoh Bus Interchange,Lorong 8 Toa Payoh
240,Boon Lay Bus Interchange,Jalan Ahmad Ibrahim
240A,Corporation Drive,Boon Lay Way (Lakeside MRT station)
240M,Lakeside MRT station,Boon Lay MRT station
241,Boon Lay Bus Interchange,Jurong West Street 91
241A,Jurong West Street 91,Jurong West Street 63 (Pioneer MRT station)
242,Boon Lay Bus Interchange,Jurong West Street 71
243G,Boon Lay Bus Interchange,Jurong West Avenue 5
243W,Boon Lay Bus Interchange,Jurong West Avenue 6
246,Boon Lay Bus Interchange,Boon Lay Drive
247,Tuas Bus Terminal,Tuas Bay Link
248,Tuas Bus Terminal,Tuas South Avenue 14
248M,Tuas Bus Terminal,Tuas South Way
249,Boon Lay Bus Interchange,Jalan Samulun
249A,Boon Lay Bus Interchange,Tanjong Kling Road
251,Boon Lay Bus Interchange,Shipyard Road
252,Boon Lay Bus Interchange,Joo Koon Road
253,Joo Koon Bus Interchange,Benoi Road
254,Joo Koon Bus Interchange,Tuas Avenue 11
255,Joo Koon Bus Interchange,Gul Crescent
257,Joo Koon Bus Interchange,Pioneer Sector 2
258,Joo Koon Bus Interchange,Boon Lay MRT station
258M,Joo Koon Bus Interchange,Boon Lay Place (loop)
261,Ang Mo Kio Bus Interchange,Ang Mo Kio Avenue 10
262,Ang Mo Kio Bus Interchange,Ang Mo Kio Avenue 2
265,Ang Mo Kio Street 63,Ang Mo Kio Avenue 10
265,Ang Mo Kio Street 64,Ang Mo Kio Avenue 9
268,Ang Mo Kio Street 65,Ang Mo Kio Industrial Park 2
268A,Ang Mo Kio Street 66,Ang Mo Kio Avenue 5
268B,Ang Mo Kio Avenue 9,Ang Mo Kio MRT station
268C,Ang Mo Kio MRT station,Ang Mo Kio Avenue 9
269,Ang Mo Kio Bus Interchange,Ang Mo Kio Street 61
269A,Ang Mo Kio Bus Interchange,Ang Mo Kio Street 61
272,Bukit Merah Bus Interchange,Telok Blangah Rise
273,Bukit Merah Bus Interchange,Henderson Road
282,Clementi Bus Interchange,Clementi West Street 2
284,Clementi Bus Interchange,Clementi Avenue 4
285,Clementi Bus Interchange,Pandan Loop
291,Tampines Bus Interchange,Tampines Street 81/32
291T,Tampines Bus Interchange,Tampines Street 81/32
292,Tampines Bus Interchange,Tampines Street 22
293T,Tampines Bus Interchange,Tampines Street 71/Avenue 7
293,Tampines Bus Interchange,Tampines Street 71/Avenue 7
296,Tampines Bus Interchange,Tampines North Drive 2
298,Tampines North Bus Interchange,Tampines Avenue 5
298X,Tampines North Bus Interchange,Tampines Avenue 5
299,Tampines North Bus Interchange,Tampines Street 96
300,Choa Chu Kang Bus Interchange,Choa Chu Kang Avenue 3
301,Choa Chu Kang Bus Interchange,Keat Hong Close
302,Choa Chu Kang Bus Interchange,Choa Chu Kang Crescent
302A,Yew Tee MRT station,Choa Chu Kang Drive (Opposite Yew Tee MRT station)
307,Choa Chu Kang Bus Interchange,Choa Chu Kang Street 62
307T,Choa Chu Kang MRT/LRT station,Teck Whye Lane
307,Choa Chu Kang Bus Interchange,Choa Chu Kang Street 62
307T,Choa Chu Kang MRT/LRT station,Teck Whye Lane
307A,Choa Chu Kang Bus Interchange,Choa Chu Kang Street 62
315,Serangoon Bus Interchange,Serangoon North Avenue 5
317,Serangoon Bus Interchange,Berwick Drive
324,Hougang Central Bus Interchange,Upper Serangoon Crescent
325,Hougang Central Bus Interchange,Hougang Street 91
329,Hougang Central Bus Interchange,Buangkok Crescent
333,Jurong East Bus Interchange,Jurong East Street 32
334,Jurong East Bus Interchange,Jurong West Street 42
335,Jurong East Bus Interchange,Jurong West Avenue 1
354,Pasir Ris Bus Interchange,Jalan Loyang Besar
358,Pasir Ris Bus Interchange,Pasir Ris Drive 10 / Pasir Ris Street 41
359,Pasir Ris Bus Interchange,Pasir Ris Street 71 / Pasir Ris Drive 2
371,Sengkang Bus Interchange,Rivervale Crescent
372,Sengkang Bus Interchange,Anchorvale Road
374,Sengkang Bus Interchange,Fernvale Road
381,Punggol Bus Interchange,Punggol East
382G,Punggol Bus Interchange,Sumang Walk (via Punggol Field)
382W,Punggol Bus Interchange,Sumang Walk (via Sentul Crescent)
382A,Punggol Bus Interchange,Sumang Lane
384,Punggol Bus Interchange,Northshore Drive (Blk 413C)
385,Punggol Coast Bus Interchange,Edgefield Plains
386,Punggol Bus Interchange,Punggol East
386A,Punggol Bus Interchange,Edgedale Plains (Blk 682A)
400,Shenton Way Bus Terminal,Marina South Pier
401,Bedok Bus Interchange,Fort Road
403,Pasir Ris Bus Interchange,Pasir Ris Road (via Pasir Ris Park)
405,Boon Lay Bus Interchange,Old Choa Chu Kang Road End
410G,Bishan Bus Interchange,Shunfu Road (via Bishan Street 21)
410W,Bishan Bus Interchange,Shunfu Road (via Bishan Street 22)
502,Soon Lee Bus Park,Bayfront MRT station/Marina Bay Sands
502A,Soon Lee Bus Park,Downtown MRT station
506,Jurong East Bus Interchange,Serangoon Bus Interchange
513,Tampines Avenue 5,Anson Road / Shenton Way
518,Pasir Ris Bus Interchange,Bayfront MRT station/Marina Bay Sands
518A,Pasir Ris Bus Interchange,Bayfront MRT station/Marina Bay Sands
651,Jurong West Avenue 3,Marina Bay MRT
652,Upper Thomson Road,Shenton Way / Anson Road
653,Hume Avenue / Hillview Avenue,Marina Bay MRT
654,Anchorvale Crescent,Shenton Way / Anson Road
655,West Coast Road,Marina Bay MRT
656,Canberra Road,Shenton Way / Anson Road
657,Jurong West Avenue 1,Marina Bay MRT
660,Buangkok Green,Shenton Way / Anson Road
660M,Buangkok Crescent,Shenton Way / Anson Road
661,Pasir Ris Drive 3,Marina Bay MRT
663,Yishun Avenue 6,Shenton Way / Anson Road
665,Marsiling Drive,Shenton Way / Anson Road
666,Punggol Drive (Damai LRT),Suntec Convention Centre
667,Clementi Avenue 4,Marina Bay MRT
668,Ang Mo Kio Avenue 5,Marina Bay MRT
670,Yishun Avenue 7,Marina Bay MRT
671,Punggol Road,Suntec Convention Centre
672,Hougang Street 51,Suntec Convention Centre
673,Punggol Way (Punggol Point LRT),Suntec Tower 3
674,Tengah Drive,Marina Bay MRT
675,Yio Chu Kang Road,Suntec Tower 3
676,Upper Serangoon Road,Suntec Tower 3
677,Punggol Road,Suntec Tower 3
678,Punggol Central,Suntec Tower 3
679,Punggol,Suntec Tower 3
800,Yishun Bus Interchange,Sembawang Road (Blk 101)
801,Yishun Bus Interchange,Yishun Avenue 1 (Blk 469B)
803,Yishun Bus Interchange,Yishun Avenue 6 (Bet Blk 318A/318B)
804,Yishun Bus Interchange,Yishun Avenue 11 (Opp Blk 419)
805,Yishun Bus Interchange,Yishun Avenue 1 (Opp Orchid Country Club)
806,Yishun Bus Interchange,Yishun Avenue 6 (Blk 391)
807,Yishun Bus Interchange,Yishun Avenue 5 (Blk 701)
807A,Yishun Bus Interchange,Yishun Ring Road (Khatib MRT station)
807B,Yishun Bus Interchange,Yishun Ring Road (Jiemin Pri Sch)
811,Yishun Bus Interchange,Yishun Avenue 5/1
811T,Yishun Bus Interchange,Yishun Avenue 5/1
811A,Yishun Bus Interchange,Yishun Avenue 5 (Opp Yishun Stn Exit B)
812,Yishun Bus Interchange,Yishun Avenue 4/3
812T,Yishun Bus Interchange,Yishun Avenue 4/3
825,Yio Chu Kang Bus Interchange,Lentor Loop
850E,Yishun Street 41,Shenton Way
850E,Anson Road,Yishun Ring Road
851,Yishun Bus Interchange,Bukit Merah Bus Interchange
851e,Yishun Bus Interchange,New Bridge Road
852,Yishun Bus Interchange,Bukit Batok Bus Interchange
853,Yishun Bus Interchange,Lorong 1 Geylang Bus Terminal
853M,Yishun Bus Interchange,Upper East Coast Bus Terminal
854,Yishun Bus Interchange,Bedok Bus Interchange
854E,Yishun Bus Interchange,Bedok Bus Interchange
855,Yishun Bus Interchange,HarbourFront Bus Interchange
856,Yishun Bus Interchange,Woodlands Bus Interchange
856A,Woodlands Bus Interchange,Woodlands Train Checkpoint
856B,Woodlands Bus Interchange,Canberra Road
857,Yishun Bus Interchange,Temasek Ave (loop)
857A,Yishun Bus Interchange,Yio Chu Kang Road
857B,Yishun Bus Interchange,Promenade MRT station
858,Woodlands Bus Interchange,Changi Airport
858A,Woodlands Bus Interchange,Yishun MRT station
858B,Jalan Kayu,Changi Airport
859,Sembawang Bus Interchange,Yishun Bus Interchange (loop)
859A,Sembawang Bus Interchange,Admiralty Link / Sembawang Crescent (loop)
859B,Sembawang Bus Interchange,Sembawang Crescent / Admiralty Link (loop)
860,Yio Chu Kang Bus Interchange,Yishun Bus Interchange (loop)
861,Sembawang Bus Interchange,Khatib MRT station (loop)
861A,Sembawang Bus Interchange,Yishun Ring Road (Khatib MRT)
868E,Bukit Batok West Avenue 5,Promenade MRT station
870,Jurong Town Hall Bus Interchange,Tengah Bus Interchange
870X,Jurong Town Hall Bus Interchange,Tengah Bus Interchange
871,Tengah Bus Interchange,Beauty World MRT station (loop)
871A,Tengah Bus Interchange,Bukit Batok East Avenue 2
871X,Tengah Bus Interchange,Beauty World MRT station (Loop)
872,Tengah Bus Interchange,Jurong East Street 32 (Loop)
882,Sembawang Bus Interchange,Sembawang Road End
882A,Sembawang Bus Interchange,Montreal Link
883,Sembawang Bus Interchange,Yishun Central 2 (Yishun Community Hosp)
883B,Yishun MRT station,Sembawang Road (Opp Blk 590C)
883M,Sembawang Bus Interchange,Yishun Ave 5 (Opp Yishun Stn Exit B)
900,Woodlands Bus Interchange,Woodlands Drive 14
901,Woodlands Bus Interchange,Woodlands Avenue 6
901M,Woodlands Bus Interchange,Woodlands Avenue 7 (Admiralty MRT)
902,Woodlands Bus Interchange,Republic Polytechnic
903,Woodlands Bus Interchange,Woodlands Centre Road
903M,Woodlands Bus Interchange,Marsiling Lane
904,Woodlands Bus Interchange,Woodlands Crescent
911T,Woodlands Bus Interchange,Woodlands Avenue 2 / Woodlands Centre Road
911A,Woodlands Bus Interchange,Woodlands St 83
912,Woodlands Bus Interchange,Woodlands Avenue 7 / Woodlands Centre Road
912A,Woodlands Bus Interchange,Woodlands Avenue 7
912B,Woodlands Bus Interchange,Woodlands Centre Road
913,Woodlands Bus Interchange,Woodlands Circle / Marsiling MRT station
913T,Woodlands Bus Interchange,Woodlands Circle / Marsiling MRT station
913M,Woodlands Bus Interchange,Woodlands Street 13
920,Bukit Panjang Bus Interchange,Bangkit Road
922,Bukit Panjang Bus Interchange,Bangkit Road
925,Woodlands Temporary Bus Interchange,Choa Chu Kang Bus Interchange
925A,Woodlands Temporary Bus Interchange,Kranji Reservoir Park B (loop)
925M,Woodlands Temporary Bus Interchange,Sungei Buloh Wetland Reserve
927,Choa Chu Kang Bus Interchange,Singapore Zoo
941,Bukit Batok Bus Interchange,Bukit Batok West Avenue 9
945,Bukit Batok Bus Interchange,Bukit Batok Street 33
